name,avg_total_time,min_total_time,max_total_time,MQE_total_time,avg_k1_time,min_k1_time,max_k1_time,MQE_k1_time,avg_k2_time,min_k2_time,max_k2_time,MQE_k2_time
diagonal_1024x1024,313.738,302.7751,325.5272,0.4818412366331019,33.07819166666667,33.0551,33.1059,0.45456036745409417,0.07763333333333332,0.0768,0.0778,0.833333333333324
diagonal_2048x2048,809.2071166666666,793.0941,815.5924,0.7161881860703514,519.8598166666667,519.8183,519.9562,0.3010635726372949,0.36643333333333333,0.3656,0.3676,0.4166666666666759
diagonal_256x256,279.16025833333333,268.4315,292.7612,0.44097372073364355,0.7213166666666666,0.7057,0.7392,0.46616915422885447,0.015566666666666666,0.0154,0.0164,0.16666666666666552
diagonal_4096x4096,8758.709716666666,8755.0107,8763.1719,0.45324421245235647,8458.394625,8458.123,8458.6973,0.4729670903728326,2.8740166666666673,2.8733,2.8754,0.34126984127017523
diagonal_512x512,284.89243333333326,271.668,298.803,0.4873570419507373,2.633808333333333,2.6192,2.6499,0.47584147665579524,0.017983333333333334,0.0174,0.0184,0.5833333333333345
diagonal_8192x8192,0.0,inf,0,nan,0.0,inf,0,0,0.0,inf,0,0
