name,avg_total_time,min_total_time,max_total_time,MQE_total_time,avg_k1_time,min_k1_time,max_k1_time,MQE_k1_time,avg_k2_time,min_k2_time,max_k2_time,MQE_k2_time
diagonal_1024x1024,282.63942000000003,269.2212,295.2059,0.5163892598336726,0.9251999999999999,0.9021,0.9487,0.49570815450643585,0.015533333333333333,0.0154,0.0164,0.13333333333333242
diagonal_2048x2048,296.6713066666667,278.5335,304.0822,0.7099307074984903,6.023173333333333,5.9961,6.0477,0.5246770025839776,0.015733333333333332,0.0154,0.0164,0.33333333333333104
diagonal_256x256,0.0,inf,0,nan,0.0,inf,0,0,0.0,inf,0,0
diagonal_4096x4096,376.53176,360.3141,380.3792,0.808252139286622,83.96751333333333,83.9238,83.999,0.5812943262411173,0.017933333333333336,0.0174,0.0184,0.5333333333333365
diagonal_512x512,0.0,inf,0,nan,0.0,inf,0,0,0.0,inf,0,0
diagonal_8192x8192,1631.9215666666666,1627.4669,1638.4031,0.4073322238681364,1328.3243266666666,1328.2776,1328.3906,0.41351032448386543,0.08023333333333332,0.0799,0.0809,0.3333333333333241
