name,avg_total_time,min_total_time,max_total_time,MQE_total_time,avg_k1_time,min_k1_time,max_k1_time,MQE_k1_time,avg_k2_time,min_k2_time,max_k2_time,MQE_k2_time
diagonal_1024x1024,337.78798,325.8917,348.9055,0.5169194135692492,50.24115333333332,50.2146,50.2621,0.5590175438594849,0.12933333333333333,0.129,0.13,0.3333333333333241
diagonal_2048x2048,1094.5603466666664,1073.733,1102.9458,0.712952769562194,802.0615133333333,801.7203,802.5666,0.40318248060186035,0.5765066666666667,0.5755,0.5786,0.32473118279571417
diagonal_256x256,285.4674933333333,269.5862,292.6805,0.6876715610922747,0.34988,0.3359,0.3687,0.4262195121951227,0.016733333333333333,0.0164,0.0174,0.33333333333333215
diagonal_4096x4096,13814.028573333333,13801.1494,13819.5068,0.7015793812486262,13515.73112,13515.6992,13515.7646,0.4880733945049051,3.912966666666667,3.9117,3.9137,0.6333333333335553
diagonal_512x512,280.90153333333336,271.7561,299.382,0.33104562505957663,3.27382,3.2532,3.2921,0.5300771208226251,0.01884,0.0184,0.0195,0.39999999999999936
diagonal_8192x8192,0.0,inf,0,nan,0.0,inf,0,0,0.0,inf,0,0
